question_id,subfield,cutoff_date,search_window,question,engaged,evidence_ids,notes
galaxy_evolution-2016-000,galaxy_evolution,2016-12-31,2017-01-01 to 2021-12-31,"What is the relationship between the anomalous HI clouds with masses around 10^7 Msun and the specific star formation rates in galaxies with log M_*/M_sun > 10.5, and how do these factors influence the estimated accretion rate of extragalactic gas?",,,
gravitational_waves-2016-001,gravitational_waves,2016-12-31,2017-01-01 to 2021-12-31,"What is the relationship between the 23-day and 72-day periods in the context of gravitational wave sources, and how do these periods relate to the observed orbital period decay rates in the two sources mentioned, considering the potential effects of anomalous magnetic braking?",,,
exoplanet_atmospheres-2018-006,exoplanet_atmospheres,2018-12-31,2019-01-01 to 2023-12-31,"How does the magnetic activity level of hot Jupiter hosts, such as WASP-43, WASP-51, WASP-72, and WASP-103, correlate with the magnetic activity of their companion stars, and what implications does this have for the survival of short-period hot Jupiters?",,,
galaxy_evolution-2012-001,galaxy_evolution,2012-12-31,2013-01-01 to 2017-12-31,"What is the relationship between the mass-to-light ratios of compact objects in the mass range 10^4.5 -- 10^8 Msun and the observed HI column densities in damped Lyman-alpha systems (DLAs), particularly for objects more massive than 10^7 Msun?",,,
exoplanet_atmospheres-2016-003,exoplanet_atmospheres,2016-12-31,2017-01-01 to 2021-12-31,"What mechanisms could explain the observed low 8 micron brightness temperature in the dayside emission spectrum of the exoplanet discussed in [0908.1977] and the anomalously low 8 micron contrast in CoRoT-2 as reported in [1011.1019], and how do these relate to the vertical mixing suggested in [1206.6887]?",,,
stellar_activity-2014-008,stellar_activity,2014-12-31,2015-01-01 to 2019-12-31,"How do the anomalously high 6-Li and 7-Li abundances in the Galaxy relate to the chemical evolution of stars with high Safronov numbers, such as the planet XO-5b?",,,
galaxy_evolution-2018-009,galaxy_evolution,2018-12-31,2019-01-01 to 2023-12-31,"What are the underlying causes for the observed discrepancies in specific star formation rates (sSFR) among galaxies in the redshift range z=2-7, particularly between those residing within groups and intergroup galaxies?",,,
gravitational_waves-2020-002,gravitational_waves,2020-12-31,2021-01-01 to 2025-12-31,"What are the observed spin-down rates of neutron stars such as IGR J00291+5934 and XTE J1751-305, and how do they compare to the predicted spin-down rates based on r-mode amplitudes and instability conditions?",,,
galaxy_evolution-2020-003,galaxy_evolution,2020-12-31,2021-01-01 to 2025-12-31,"What are the mechanisms and timescales involved in the formation of supermassive black holes (SMBHs) and intermediate-mass black holes (IMBHs) in the early Universe, particularly in relation to the rapid assembly of black holes powering quasars at redshifts z ~ 6-7 and the emergence of high-z galaxies within 200 Myr after the transition from Population III to Population II star formation?",,,
compact_objects-2014-001,compact_objects,2014-12-31,2015-01-01 to 2019-12-31,"What mechanisms can account for the observed factor of ~3 drop in count rate and change in spectral shape in the thermal and power-law components of the spectrum of the compact object observed in [1306.1776], and how do these mechanisms relate to the magnetic field decay rates and thermal emissions of isolated neutron stars as discussed in [1311.4343] and [1108.1211]?",,,
exoplanet_atmospheres-2018-005,exoplanet_atmospheres,2018-12-31,2019-01-01 to 2023-12-31,"What are the underlying factors contributing to the discrepancies in age estimates for the host stars of HATS-16 and WASP-12, given their observed chromospheric activity levels and rotational periods?",,,
exoplanet_atmospheres-2016-005,exoplanet_atmospheres,2016-12-31,2017-01-01 to 2021-12-31,"How do the atmospheric compositions and temperature profiles of exoplanets, particularly at pressures between 1 bar and 1 x 10-6 bar, influence the observed spectral features at ~3.25 microns and the discrepancies between near-infrared and mid-infrared observations?",,,
fast_radio_bursts-2020-001,fast_radio_bursts,2020-12-31,2021-01-01 to 2025-12-31,What is the true rate of neutron star mergers that can reconcile the observed Fast Radio Burst rate of 1/1000 yr$^{-1}$ per galaxy with the gamma-ray burst rate and the VLA rate limit?,,,
protoplanetary_disks-2012-009,protoplanetary_disks,2012-12-31,2013-01-01 to 2017-12-31,"What are the physical characteristics and evolutionary status of BP Psc that contribute to its classification as a puzzling late-type, emission-line field star with large infrared excess, and how do these characteristics compare to the low mass stars (2.4 to 2.8 solar masses) discussed in the context of Hubrig et al.'s hypothesis?",,,
compact_objects-2020-000,compact_objects,2020-12-31,2021-01-01 to 2025-12-31,"What are the underlying mechanisms causing the unexpected factor of ~3 drop in count rate and change in spectral shape in the observed isolated neutron star population, and how do these changes relate to the rate of magnetic field decay and the long-term modulation shape near 111 days?",,,
protoplanetary_disks-2020-002,protoplanetary_disks,2020-12-31,2021-01-01 to 2025-12-31,"What is the cause of the discrepancies in the derived inclinations and cavity radii in protoplanetary disks, specifically between interferometric near-infrared spectroscopy and submillimeter observations, and how does the presence of a 3-4M_Jup planet at 20 au influence these measurements?",,,
compact_objects-2014-002,compact_objects,2014-12-31,2015-01-01 to 2019-12-31,"What are the underlying causes of the discrepancies between the inferred TDE rates and observationally inferred TDE rates, and how can future observations reconcile the differences in black hole mass estimates derived from the CIV 1549 line and Hb line measurements?",,,
compact_objects-2016-006,compact_objects,2016-12-31,2017-01-01 to 2021-12-31,"What is the relationship between the surface temperature distribution of the anomalous X-ray pulsar 1E 1048.1-5937 during active and quiescent epochs, and the hard X-ray emission mechanisms that require additional non-thermal processes or relativistic electrons?",,,
exoplanet_atmospheres-2012-002,exoplanet_atmospheres,2012-12-31,2013-01-01 to 2017-12-31,"What are the underlying physical mechanisms that cause the observed discrepancies in radius variations and brightness in the mid-infrared secondary eclipse for pM Class planets, specifically for HD 149026b and HD 209458b?",,,
protoplanetary_disks-2016-009,protoplanetary_disks,2016-12-31,2017-01-01 to 2021-12-31,"What are the physical properties and scattering mechanisms of the circumstellar dust grains in protoplanetary disks that lead to unexpected backward-scattering behavior, and how do these properties influence the alignment of planetary orbits with stellar spin in systems like Kepler-25?",,,
exoplanet_atmospheres-2018-001,exoplanet_atmospheres,2018-12-31,2019-01-01 to 2023-12-31,"What is the relationship between the tidal interactions of hot Jupiters and the anomalously large radii observed in these planets, particularly for those located within 0.02-0.2 AU from their host stars?",,,
exoplanet_atmospheres-2016-007,exoplanet_atmospheres,2016-12-31,2017-01-01 to 2021-12-31,"What is the cause of the greater atmospheric opacity observed at 3.6 microns compared to 4.5 microns in the atmospheres of hot Jupiters, and how does this relate to the C/O ratio and chromospheric activity of their host stars?",,,
galaxy_evolution-2016-009,galaxy_evolution,2016-12-31,2017-01-01 to 2021-12-31,"How do modifications to supernova and AGN feedback mechanisms, along with a more realistic treatment of strangulation and tidal stripping, affect the formation efficiency of central galaxies in high-redshift haloes with circular velocities of ~100-200 km/s?",,,
protoplanetary_disks-2020-008,protoplanetary_disks,2020-12-31,2021-01-01 to 2025-12-31,"How does the molecular gas content in the inner disk (< few AU) relate to the presence and properties of planetesimals and protoplanets in the outer disk (beyond ~20 AU), and what are the implications for the formation of warm, circumplanetary disks around gas giant planets at a de-projected distance of (53±2) AU from their host stars?",,,
galaxy_evolution-2014-008,galaxy_evolution,2014-12-31,2015-01-01 to 2019-12-31,"How do the age and metallicity distributions of spheroidal components in galaxies at 21 kpc relate to the history of merging events and the star formation rates in disk galaxies, particularly in the context of the age/metallicity-mass relation and the metallicity distribution of star-forming galaxies at z=0.7?",,,
fast_radio_bursts-2018-005,fast_radio_bursts,2018-12-31,2019-01-01 to 2023-12-31,"What is the underlying cause of the inconsistency between the fluence ratio limit for ext{sgr} and the observed fluence scaling of FRBs, particularly for the high fluence events 171020, 180110, and 180324?",,,
cosmology_tensions-2016-009,cosmology_tensions,2016-12-31,2017-01-01 to 2021-12-31,"How does the choice of spherical overdensity threshold $Δ_{c}$ for halo identification affect the observed halo concentrations and their agreement with LCDM predictions across different mass scales, particularly for clusters with mass M < 4.10^{14} solar mass/h?",,,
fast_radio_bursts-2020-006,fast_radio_bursts,2020-12-31,2021-01-01 to 2025-12-31,"What are the physical conditions and environments required to explain the discrepancies in fluence ratios and scattering properties of Fast Radio Bursts, particularly in relation to the mean fluence scaling of α=-1.8 ± 0.3 observed in ASKAP events and the characteristics of SGR 1935+2154-like magnetars?",,,
protoplanetary_disks-2018-002,protoplanetary_disks,2018-12-31,2019-01-01 to 2023-12-31,"What is the cause of the discrepancy in the derived inclinations of protoplanetary disks as measured by interferometric near-infrared spectroscopy compared to other methods, and how does the presence of a 3-4M_Jup planet at 20 au from the star influence the cavity radii observed at near-infrared versus submillimeter wavelengths?",,,
stellar_activity-2014-009,stellar_activity,2014-12-31,2015-01-01 to 2019-12-31,What are the effects of varying mixing-length parameters on the magnetic activity and flare characteristics of solar-type stars with masses between 0.6 and 1.0 Msun?,,,
compact_objects-2014-000,compact_objects,2014-12-31,2015-01-01 to 2019-12-31,"What are the definitive orbital elements of the Be/X-ray binary LS I +61 303, and how do they reconcile the discrepancies reported in the literature regarding its orbital period and gamma-ray emission characteristics?",,,
exoplanet_atmospheres-2012-009,exoplanet_atmospheres,2012-12-31,2013-01-01 to 2017-12-31,"What are the specific atmospheric conditions, including the presence of an inversion layer and potential stratospheric absorbers, that lead to the observed discrepancies in the emission spectra of exoplanets, particularly regarding the 4.5 and 5.8 micron bandpasses and the 8 micron brightness temperature?",,,
protoplanetary_disks-2014-007,protoplanetary_disks,2014-12-31,2015-01-01 to 2019-12-31,"How does the mass of protoplanetary disks in different stellar age environments compare to theoretical predictions, and what factors contribute to the observed systematic underestimation of disk mass by a factor of 3 - 5?",,,
gravitational_waves-2016-006,gravitational_waves,2016-12-31,2017-01-01 to 2021-12-31,"How do the phase discrepancies of 6-27 rad observed in the effective one-body (EOB) approach with post-Newtonian self-force terms compare to the phase predictions from simulations of extreme mass ratio inspirals with effective spins, and what implications do these differences have for the accuracy of gravitational wave models?",,,
stellar_activity-2012-005,stellar_activity,2012-12-31,2013-01-01 to 2017-12-31,"What are the underlying causes of the discrepancy in the X-ray Luminosity Functions between the Cep OB3b and the Orion Nebula Cluster, and how does the unexpected brightening of X-ray emission in March/April 2007 relate to these differences?",,,
compact_objects-2020-004,compact_objects,2020-12-31,2021-01-01 to 2025-12-31,"What are the underlying mechanisms that account for the low braking indices observed in eight pulsars and the abnormal distribution of frequency second derivatives in 222 pulsars and 15 magnetars, given that these observations contradict the classical understanding of magnetic dipole braking?",,,
exoplanet_atmospheres-2014-005,exoplanet_atmospheres,2014-12-31,2015-01-01 to 2019-12-31,"What is the cause of the low methane abundance observed in the atmosphere of HD 209458b, which contradicts the high CH4 content inferred from previous observations of its dayside?",,,
galaxy_evolution-2018-004,galaxy_evolution,2018-12-31,2019-01-01 to 2023-12-31,"What are the mechanisms and timelines involved in the formation of supermassive black holes (SMBHs) and intermediate-mass black holes (IMBHs) in the early Universe, particularly in relation to the rapid assembly of black holes powering quasars at redshifts z ~ 6-7 and the emergence of high-z galaxies within 200 Myr after the transition from Population III to Population II star formation?",,,
stellar_activity-2020-006,stellar_activity,2020-12-31,2021-01-01 to 2025-12-31,How do the magnetic field orientations on either side of Voyager 1 relate to the characteristics of interstellar flux transfer events and the discrepancies in open magnetic flux observed during the solar-activity cycle?,,,
exoplanet_atmospheres-2020-002,exoplanet_atmospheres,2020-12-31,2021-01-01 to 2025-12-31,"What are the distinct atmospheric layers present in the exoplanet's atmosphere that contribute to the observed discrepancies in night-side temperature, and how do these layers affect the overall thermal structure, including the anomalously high brightness temperature of 1552 K at 3.6 microns?",,,
compact_objects-2012-008,compact_objects,2012-12-31,2013-01-01 to 2017-12-31,"What are the underlying physical mechanisms that account for the similarity in the flux spectra of the anomalous X-ray pulsar 1E 1048.1-5937 and 4U 0142+61, and how do these mechanisms challenge the dust disk model proposed for 1E 1048.1-5937?",,,
exoplanet_atmospheres-2018-009,exoplanet_atmospheres,2018-12-31,2019-01-01 to 2023-12-31,"What is the cause of the low methane abundance observed in the atmosphere of HD 209458b, given the conflicting predictions from one-dimensional models and the high CH4 content inferred from dayside observations?",,,
galaxy_evolution-2020-000,galaxy_evolution,2020-12-31,2021-01-01 to 2025-12-31,"What are the underlying causes of the discrepancies between the observed star formation rate (SFR) and stellar mass density at redshifts $z = 1-4$, and how do these discrepancies affect the relationship between SFR and stellar mass (${ m M}_{ullet}$) across the redshift range $0<z<8$?",,,
galaxy_evolution-2014-001,galaxy_evolution,2014-12-31,2015-01-01 to 2019-12-31,"What is the origin of the anomalous velocity HI clouds with masses around 10^7 Msun, and how do they contribute to the estimated lower limit of 1.2 Msun/yr for extragalactic gas accretion, particularly in relation to the population of galaxies with high HI masses and low specific star formation rates?",,,
compact_objects-2012-004,compact_objects,2012-12-31,2013-01-01 to 2017-12-31,"What are the underlying mechanisms that cause the different spectral behaviors observed in the two classes of magnetars (SGRs and anomalous X-ray pulsars) as indicated by the broad band spectra (1-100 keV) compared in the study, and how do these mechanisms relate to the re-brightening bumps observed in GRB 021004, GRB 030329, and SGR 1900+14?",,,
fast_radio_bursts-2014-000,fast_radio_bursts,2014-12-31,2015-01-01 to 2019-12-31,"What is the actual rate of neutron star mergers that can reconcile the Fast Radio Burst rate of 1/1000 yr$^{-1}$ per galaxy with the gamma-ray burst rate, considering the discrepancies highlighted by Thornton et al. and the VLA rate limit?",,,
exoplanet_atmospheres-2014-002,exoplanet_atmospheres,2014-12-31,2015-01-01 to 2019-12-31,"What are the underlying causes of the discrepancies in spectral data for HD 189733b, particularly regarding the inconsistency between the 8 um-photometry from Spitzer's IRAC and the K-band data, and how can future observations resolve the temperature discrepancies noted in model spectra fitting?",,,
galaxy_evolution-2018-001,galaxy_evolution,2018-12-31,2019-01-01 to 2023-12-31,"What are the underlying causes of the discrepancies between the estimated star formation rate (SFR) and the stellar mass density at various redshifts, particularly in the range of 0<z<8, and how do these discrepancies affect the relationship between SFR and stellar mass (M*)?",,,
galaxy_evolution-2016-002,galaxy_evolution,2016-12-31,2017-01-01 to 2021-12-31,"What are the underlying causes of the discrepancies between the estimated star formation rate (SFR) and the stellar mass density at various redshifts, particularly in the range of 0<z<8, and how do these discrepancies affect the relationship between SFR and stellar mass (M*)?",,,
compact_objects-2018-004,compact_objects,2018-12-31,2019-01-01 to 2023-12-31,"What are the underlying mechanisms that lead to the observed low braking indices and abnormal frequency second derivatives in the populations of 222 pulsars and 15 magnetars, and how do these mechanisms reconcile with the classical understanding of magnetic dipole braking?",,,
protoplanetary_disks-2014-005,protoplanetary_disks,2014-12-31,2015-01-01 to 2019-12-31,"What are the underlying mechanisms causing the high dust luminosity in the anomalous systems HD3003, HD38678, HD115892, and HD172555, and how do these mechanisms relate to the observed gas accretion rates and dust masses in protoplanetary disks?",,,
galaxy_evolution-2014-002,galaxy_evolution,2014-12-31,2015-01-01 to 2019-12-31,"What is the cause of the observed discrepancies in star formation rate (SFR) measurements between different methods (such as LIR measurements from 24 micron and Herschel observations, photometric and spectroscopic redshifts, and PAH emission line luminosity) in infrared-selected galaxies at redshifts around z~2?",,,
